Event_ID,Event_Name,Parent_Event_ID,Event_Type,Probability_Type,Probability_Value,Distribution_Type,Min,Max,Mean,Median,Mode,StdDev,Lambda,Alpha,Beta,Shape,Scale,Fixed_Value,Consequence_Type,Consequence_Distribution,Consequence_Min,Consequence_Max,Consequence_Mean,Consequence_StdDev,Dependency_Type,Dependency_Condition,Correlation_Group,Notes
N0001,Adversary attempts to introduce a prohibited item through checkpoint,,Root,fixed,1.0000,fixed,,,,,,,,,,,,1.0000,Security,triangular,25,100,65,15,independent,Scenario root event for test data only; not an operational playbook.,CG-ROOT,"Synthetic defensive test scenario. Details intentionally avoid concealment tactics, bypass instructions, or exploitable checkpoint procedures."
N0002,Intent Formation phase begins,N0001,Phase,fixed,0.9200,fixed,,,,,,,,,,,,0.9200,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P1,Root and planning-stage indicators framed for defensive analysis
N0003,Pre-Arrival Environment phase begins,N0001,Phase,fixed,0.8950,fixed,,,,,,,,,,,,0.8950,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P2,Observable travel and queue context before checkpoint entry
N0004,Document and Identity Presentation phase begins,N0001,Phase,fixed,0.8700,fixed,,,,,,,,,,,,0.8700,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P3,"Credential, identity, and itinerary checks"
N0005,Divestiture and Queue Behavior phase begins,N0001,Phase,fixed,0.8450,fixed,,,,,,,,,,,,0.8450,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P4,Passenger preparation and staff interaction at the checkpoint
N0006,Screening Lane Selection phase begins,N0001,Phase,fixed,0.8200,fixed,,,,,,,,,,,,0.8200,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P5,Assignment to screening lane or screening technology path
N0007,Property Screening phase begins,N0001,Phase,fixed,0.7950,fixed,,,,,,,,,,,,0.7950,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P6,Carry-on/belongings screening outcomes
N0008,Passenger Screening phase begins,N0001,Phase,fixed,0.7700,fixed,,,,,,,,,,,,0.7700,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P7,Person screening outcomes
N0009,Alarm Resolution phase begins,N0001,Phase,fixed,0.7450,fixed,,,,,,,,,,,,0.7450,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P8,Resolution of generic screening alarms or anomalies
N0010,Supervisor and Law Enforcement Escalation phase begins,N0001,Phase,fixed,0.7200,fixed,,,,,,,,,,,,0.7200,Operational,uniform,1,10,5,2,requires_parent_success,Phase is evaluated if the root scenario is active.,CG-P9,"Escalation, coordination, and disposition"
